,scrnum,scr,dest,time,destnum
74,11853993380,63hubqfaq9lr2,2t0y2hfao8maa,1.58E+12,11355358312
75,11853993381,73hubqfad5wy8,nk2y2hfav6w1o,1.58E+12,11355360565
76,11853993384,a4hubqfaqkcyf,v80y2hfab8scw,1.58E+12,11355358845
77,11853993390,g4hubqfatu5c0,5gzy2hfa8b4ze,1.58E+12,11355356551
78,11853993395,l4hubqfah57xf,59zy2hfa0dg3j,1.58E+12,11355357595
79,11853993399,p4hubqfasz49l,lvzy2hfag8tjz,1.58E+12,11355357071
80,11853993403,t4hubqfahw02w,vs2y2hfa8mx3z,1.59E+12,11355360861
81,11853993404,u4hubqfa6tld0,at0y2hfabonx7,1.58E+12,11355358284
82,11853993408,y4hubqfauioyt,r0zy2hfajvnif,1.58E+12,11355357257
83,11853993413,34hubqfay7i6y,t5zy2hfa54nr3,1.58E+12,11355357439
84,11853993418,84hubqfaeka90,7gzy2hfa2c513,1.58E+12,11355356553
85,11853993420,a5hubqfa003pj,pm1y2hfagi2fd,1.58E+12,11355359343
86,11853993423,d5hubqfafo282,v70y2hfatxh0h,1.58E+12,11355358809
87,11853993424,e5hubqfa5eg81,bvzy2hfard2mi,1.58E+12,11355357061
88,11853993425,f5hubqfa7zqy7,0c1y2hfaww2fe,1.58E+12,11355358994
89,11853993426,g5hubqfaqyg22,wg0y2hfavqqn4,1.58E+12,11355357838
90,11853993428,i5hubqfa57b02,qk2y2hfa96obd,1.58E+12,11355360568
91,11853993442,w5hubqfa616fy,bf1y2hfah65xb,1.58E+12,11355359077
92,11853993444,y5hubqfa8siub,3hzy2hfag37ge,1.58E+12,11355356585
93,11853993449,35hubqfa8ovto,n2zy2hfad3omd,1.58E+12,11355357325
94,11853993453,75hubqfad9zq6,5l2y2hfaomn13,1.58E+12,11355360619
95,11853993457,b6hubqfapr5k0,xf0y2hfat5c13,1.58E+12,11355357803
96,11853993458,c6hubqfatpcdl,ip1y2hfacb47p,1.58E+12,11355359444
97,11853993462,g6hubqfa5gqb0,to0y2hfahdmxe,1.58E+12,11355358123
98,11853993471,p6hubqfabaxsr,2x0y2hfar1m6o,1.58E+12,11355358456
99,11853993472,q6hubqfabdxxu,a70y2hfa4al98,1.58E+12,11355358788
100,11853993474,s6hubqfaxbrfr,7m2y2hfam59xf,1.58E+12,11355360657
101,11853993477,v6hubqfa6eaar,wg2y2hfagylw3,1.58E+12,11355360430
102,11853993482,06hubqfajkro2,lnzy2hfaciryd,1.58E+12,11355356783
103,11853993484,26hubqfarv7al,ezzy2hfaqkoc7,1.58E+12,11355357208
104,11853993485,36hubqfafjn5y,eqzy2hfa1ei9u,1.58E+12,11355356884
105,11853993490,86hubqfaf0i6h,glzy2hfaengk9,1.58E+12,11355356706
106,11853993498,g7hubqfaunxqe,db0y2hfadg5vm,1.58E+12,11355357639
107,11853993505,n7hubqfa6nnoo,0g1y2hfanfls4,1.58E+12,11355359138
108,11853993517,z7hubqfair192,8z1y2hfarme1m,1.58E+12,11355359830
109,11853993518,07hubqfaoidqy,2d1y2hfadilwd,1.58E+12,11355359032
110,11853993519,17hubqfagu0t2,7k2y2hfa23h15,1.58E+12,11355360585
111,11853993521,37hubqfayv6cf,1yzy2hfaa3a4a,1.58E+12,11355357195
112,11853993523,57hubqfa7o0pu,ct1y2hfazmql7,1.58E+12,11355359582
113,11853993527,97hubqfa2457v,iy0y2hfa68jj0,1.58E+12,11355358472
114,11853993529,b8hubqfasq7gk,nm0y2hfavlfen,1.58E+12,11355358045
115,11853993531,d8hubqfahey4f,7k1y2hfa9vvmz,1.58E+12,11355359289
116,11853993535,h8hubqfa9jywq,bl0y2hfaw2nn3,1.58E+12,11355357997
117,11853993536,i8hubqfap8v0g,5x0y2hfakb8vu,1.58E+12,11355358459
118,11853993537,j8hubqfaw4g11,ox0y2hfayyvbs,1.58E+12,11355358442
119,11853993538,k8hubqfa5bwqz,kb2y2hfa8qrtt,1.58E+12,11355360238
120,11853993539,l8hubqfa9x5hj,cf0y2hfa1qlio,1.58E+12,11355357782
121,11853993540,m8hubqfacxq4q,fa0y2hfa9zm95,1.58E+12,11355357605
122,11853993541,n8hubqfa0q8vp,05zy2hfagmouo,1.58E+12,11355357446
123,11853993546,s8hubqfa3yp07,2f2y2hfaqpcpw,1.58E+12,11355360400
124,11853993559,58hubqfaozuf5,sr0y2hfa8goor,1.58E+12,11355358230
125,11853993560,68hubqfabmtke,if0y2hfadkdrs,1.58E+12,11355357788
126,11853993569,f9hubqfanq1gs,99zy2hfafrwnw,1.58E+12,11355357599
127,11853993570,g9hubqfag4uub,ek2y2hfajcdnx,1.58E+12,11355360556
128,11853993573,j9hubqfav8n8i,5n0y2hfa64omo,1.58E+12,11355358099
129,11853993575,l9hubqfa3zf2a,tkzy2hfal6mjw,1.58E+12,11355356683
130,11853993579,p9hubqfarjtva,sj0y2hfauz1gt,1.58E+12,11355357942
131,11853993581,r9hubqfa3ndd0,wi2y2hfao88dj,1.58E+12,11355360502
132,11853993584,u9hubqfa4g9fe,g30y2hfaixc1h,1.58E+12,11355358650
133,11853993586,w9hubqfaebt7t,thzy2hfamim6c,1.58E+12,11355356575
134,11853993587,x9hubqfa7m75g,h91y2hfa6rf1v,1.58E+12,11355360163
135,11853993588,y9hubqfa7de5c,u9zy2hfaurh1f,1.58E+12,11355357584
136,11853993589,z9hubqfarsyvy,h0zy2hfaui8q4,1.58E+12,11355357247
137,11853993592,29hubqfapoyws,b4zy2hfamx0c9,1.58E+12,11355357385
138,11853993595,59hubqfaw25l7,lu1y2hfamt13y,1.58E+12,11355359627
139,11853993603,daiubqfaytcjl,cy0y2hfab6soq,1.58E+12,11355358466
140,11853993604,eaiubqfalha63,8w0y2hfat8r2v,1.58E+12,11355358426
141,11853993607,haiubqfaya865,srzy2hfan2kvh,1.58E+12,11355356934
142,11853993612,maiubqfa9hr1i,6s1y2hfazkalu,1.58E+12,11355359576
143,11853993619,taiubqfabnv68,b3zy2hfar8i4k,1.58E+12,11355357349
144,11853993620,uaiubqfaq7ux4,rn0y2hfaswoop,1.58E+12,11355358085
145,11853993623,xaiubqfah1dvt,v1zy2hfag8op7,1.58E+12,11355357297
146,11853993626,0aiubqfak9x89,dgzy2hfac26y7,1.58E+12,11355356523
147,11853993635,9aiubqfa1q7ut,mz0y2hfant5rc,1.58E+12,11355358512
148,11853993654,sbiubqfab6ar4,3v1y2hfabwpcc,1.58E+12,11355359681
149,11853993655,tbiubqfaq97s7,kh1y2hfazy38m,1.58E+12,11355359158
150,11853993656,ubiubqfa3l55q,zg0y2hfaulfsd,1.58E+12,11355357841
151,11853993665,3biubqfafebnv,bf2y2hfap0ao9,1.58E+12,11355360373
152,11853993687,pciubqfakqsei,3d0y2hfa0gilj,1.58E+12,11355357737
153,11853993692,uciubqfaegpas,kozy2hfamx3y1,1.58E+12,11355356818
154,11853993700,2ciubqfa8s5qg,8uzy2hfadatpt,1.58E+12,11355357058
155,11853993710,cdiubqfak5y31,c3zy2hfaedx5x,1.58E+12,11355357350
156,11853993713,fdiubqfax4ts0,wa0y2hfah3f0x,1.58E+12,11355357622
157,11853993714,gdiubqfaazxe9,ne1y2hfa8ydb6,1.58E+12,11355359053
158,11853993715,hdiubqfado3xc,mtzy2hfauksmt,1.58E+12,11355357000
159,11853993718,kdiubqfab4wyw,h60y2hfag6axi,1.58E+12,11355358759
160,11853993724,qdiubqfazjh5d,5szy2hfabi4ux,1.58E+12,11355356983
161,11853993727,tdiubqfaejf31,ctzy2hfakf189,1.58E+12,11355356990
162,11853993734,0diubqfaeeve6,9i2y2hfati037,1.58E+12,11355360515
163,11853993736,2diubqfat0ut1,6d2y2hfaup54n,1.58E+12,11355360332
164,11853993739,5diubqfaoy5ra,0h2y2hfauwwnq,1.58E+12,11355360470
165,11853993745,beiubqfat1r1f,5b2y2hfao2mk8,1.58E+12,11355360259
166,11853993746,ceiubqfapqr4k,tk2y2hfatjvjl,1.58E+12,11355360571
167,11853993749,feiubqfa6dptc,hj2y2hfaokk8z,1.58E+12,11355360523
168,11853993767,xeiubqfavie1o,lj2y2hfa2s0k2,1.58E+12,11355360527
169,11853993773,3eiubqfa9olch,nr1y2hfaq5jyd,1.58E+12,11355359521
170,11853993790,kfiubqfajy6am,gzzy2hfavtkfx,1.58E+12,11355357210
171,11853993791,lfiubqfa4jjox,lw0y2hfau0xza,1.58E+12,11355358403
172,11853993798,sfiubqfa0ouy0,ir2y2hfaf9fwr,1.59E+12,11355360812
173,11853993804,yfiubqfaw4h88,uc1y2hfa7ay9v,1.58E+12,11355358988
174,11853993809,3fiubqfaf7ima,xe2y2hfamff29,1.58E+12,11355360359
175,11853993812,6fiubqfaurp00,6l2y2hfau6f3v,1.58E+12,11355360620
176,11853993814,8fiubqfah6rsx,zg2y2hfaphlei,1.58E+12,11355360433
177,11853993816,agiubqfasi1ae,yz1y2hfalg27z,1.58E+12,11355359820
178,11853993818,cgiubqfabntnf,1p2y2hfap15j7,1.58E+12,11355360759
179,11853993821,fgiubqfaooy02,ro2y2hfauknhn,1.58E+12,11355360713
180,11853993822,ggiubqfa91qcy,1p1y2hfaprngt,1.58E+12,11355359463
181,11853993823,hgiubqfa2pwdl,6h2y2hfa21ryb,1.58E+12,11355360476
182,11853993825,jgiubqfaugk0q,1k1y2hfa07xkt,1.58E+12,11355359283
183,11853993828,mgiubqfa673of,7p2y2hfaammg4,1.58E+12,11355360765
184,11853993829,ngiubqfac4bx8,ke0y2hfazd0rf,1.58E+12,11355357754
185,11853993832,qgiubqfaih8la,of0y2hfawd13l,1.58E+12,11355357794
186,11853993833,rgiubqfakgcxm,fw1y2hfa0cnlu,1.58E+12,11355359693
187,11853993836,ugiubqfad77la,mw0y2hfa9lkpo,1.58E+12,11355358404
188,11853993838,wgiubqfa7n3k7,zk2y2hfakvn8d,1.58E+12,11355360577
189,11853993840,ygiubqfasjg0a,zn1y2hfa4uwbh,1.58E+12,11355359389
190,11853993843,1giubqfaegmq3,jz1y2hfa7tbkm,1.58E+12,11355359805
191,11853993845,3giubqfay7z2i,fp2y2hfaworu0,1.58E+12,11355360737
192,11853993846,4giubqfa01u07,c51y2hfaahmqo,1.58E+12,11355360014
193,11853993850,8giubqfa4w277,ql2y2hfawzcnr,1.58E+12,11355360604
194,11853993852,ahiubqfak9gnz,lx1y2hfajbuhb,1.58E+12,11355359735
195,11853993857,fhiubqfa4ix2s,n51y2hfa61mgp,1.58E+12,11355360025
196,11853993858,ghiubqfa2n4jw,fl2y2hfal85mf,1.58E+12,11355360593
197,11853993860,ihiubqfad7ud1,6q2y2hfawzpk6,1.59E+12,11355360800
198,11853993861,jhiubqfaeqlnq,ud1y2hfayc13o,1.58E+12,11355359024
199,11853993864,mhiubqfaaeh2k,gx1y2hfaqnb9r,1.58E+12,11355359730
200,11853993866,ohiubqfaist2c,jr2y2hfalc45h,1.59E+12,11355360813
201,11853993867,phiubqfawvmgc,de2y2hfamvsm7,1.58E+12,11355360339
202,11853993874,whiubqfa6auei,ll2y2hfamsg5n,1.58E+12,11355360599
203,11853993875,xhiubqfa13u3n,vo0y2hfady8gq,1.58E+12,11355358125
204,11853993879,1hiubqfald8r2,f01y2hfa4pe5f,1.58E+12,11355359837
205,11853993889,biiubqfanld7t,pozy2hfa6z88n,1.58E+12,11355356823
206,11853993890,ciiubqfahk8sd,u81y2hfa6rxg5,1.58E+12,11355360140
207,11853993896,iiiubqfa91dnn,a3zy2hfa8fzo6,1.58E+12,11355357348
208,11853993897,jiiubqfamxwfa,b50y2hfa0l8m5,1.58E+12,11355358717
209,11853993902,oiiubqfatd4m2,5i2y2hfa64z64,1.58E+12,11355360511
210,11853993910,wiiubqfa3jrrq,hw1y2hfa8rtjq,1.58E+12,11355359695
211,11853993913,ziiubqfa9uj65,l61y2hfa69dve,1.58E+12,11355360059
212,11853993922,8iiubqfahgq9c,hj0y2hfasxxkm,1.58E+12,11355357931
213,11853993927,djiubqfahnxlw,5w1y2hfa3fhol,1.58E+12,11355359719
214,11853993928,ejiubqfasuq9q,00zy2hfamf1hk,1.58E+12,11355357266
215,11853993929,fjiubqfalw58d,6r1y2hfaylomq,1.58E+12,11355359540
216,11853993933,jjiubqfa7hy8n,n31y2hfaxgnk3,1.58E+12,11355359953
217,11853993938,ojiubqfa8qylp,yp0y2hfamkfx8,1.58E+12,11355358164
218,11853993939,pjiubqfapabw8,fy0y2hfarb12s,1.58E+12,11355358469
219,11853993948,yjiubqfaau7dj,sfzy2hfaa7g9n,1.58E+12,11355356502
220,11853993958,8jiubqfa9hncr,vfzy2hfablbeg,1.58E+12,11355356505
221,11853993965,fkiubqfa5izvh,o81y2hfavgr5f,1.58E+12,11355360134
222,11853993972,mkiubqfa9v4f9,i10y2hfafbipu,1.58E+12,11355358580
223,11853993981,vkiubqfawzq40,nh1y2hfa5loma,1.58E+12,11355359161
224,11853993987,1kiubqfarqkfg,kq2y2hfa9u36x,1.59E+12,11355360778
225,11853993988,2kiubqfajmst8,4o0y2hfatag0z,1.58E+12,11355358134
226,11853993992,6kiubqfa5pzdb,16zy2hfax1yl9,1.58E+12,11355357483
227,11853993993,7kiubqfama1mz,n5zy2hfa63kwz,1.58E+12,11355357433
228,11853994001,fliubqfag5kwr,6k0y2hfatqkl0,1.58E+12,11355357992
229,11853994007,lliubqfaf30tg,950y2hfaq48ar,1.58E+12,11355358751
230,11853994009,nliubqfap9vmo,w00y2hfanrvmq,1.58E+12,11355358558
231,11853994011,pliubqfatmawj,km1y2hfa0c7ko,1.58E+12,11355359338
232,11853994013,rliubqfaq3hfn,dz0y2hfajib4u,1.58E+12,11355358503
233,11853994016,uliubqfafgtqe,0qzy2hfar94py,1.58E+12,11355356906
234,11853994017,vliubqfafyzkh,dv1y2hfavokay,1.58E+12,11355359655
235,11853994018,wliubqfar2zd7,m60y2hfahbcc8,1.58E+12,11355358764
236,11853994020,yliubqfay8aav,pe2y2hfa7n1vx,1.58E+12,11355360351
237,11853994023,1liubqfalq65h,ar2y2hfac0vp0,1.59E+12,11355360804
238,11853994024,2liubqfal861u,fp0y2hfahjaxr,1.58E+12,11355358145
239,11853994027,5liubqfasdwrn,gv1y2hfa030k2,1.58E+12,11355359658
240,11853994032,amiubqfaecx6c,o3zy2hfak14xz,1.58E+12,11355357362
241,11853994033,bmiubqfakx6e2,cv1y2hfairhko,1.58E+12,11355359654
242,11853994036,emiubqfa1u598,lo0y2hfaihcj9,1.58E+12,11355358115
243,11853994039,hmiubqfari1i7,kp0y2hfa63wng,1.58E+12,11355358150
244,11853994041,jmiubqfa2n9iq,hkzy2hfaieqnu,1.58E+12,11355356671
245,11853994042,kmiubqfablop6,8u1y2hfae2i2w,1.58E+12,11355359650
246,11853994045,nmiubqfaf0wjo,b40y2hfad7f74,1.58E+12,11355358681
247,11853994048,qmiubqfaekdwa,hv1y2hfaxngfc,1.58E+12,11355359659
248,11853994051,tmiubqfa7ee3o,bv1y2hfauiczq,1.58E+12,11355359653
249,11853994057,zmiubqfa38ln2,7xzy2hfanouow,1.58E+12,11355357165
250,11853994064,6miubqfaeoxte,490y2hfaval4h,1.58E+12,11355358890
251,11853994066,8miubqfag3qek,ep0y2hfaxlkab,1.58E+12,11355358144
252,11853994072,eniubqfau4tlb,4zzy2hfacxri7,1.58E+12,11355357234
253,11853994074,gniubqfam948g,rd2y2hfada4fj,1.58E+12,11355360317
254,11853994080,mniubqfawzmw1,9o1y2hfa9c3g9,1.58E+12,11355359435
255,11853994082,oniubqfaaoom2,mp2y2hfati2p7,1.58E+12,11355360744
256,11853994087,tniubqfaszoau,ml1y2hfac2u1i,1.58E+12,11355359304
257,11853994093,zniubqfardpiq,w40y2hfa760sp,1.58E+12,11355358702
258,11853994094,0niubqfantp5p,jx1y2hfa9dbuj,1.58E+12,11355359733
259,11853994096,2niubqfa7t4g9,nk0y2hfarhrvp,1.58E+12,11355357973
260,11853994097,3niubqfanrz36,2y1y2hfapkb2k,1.58E+12,11355359788
261,11853994099,5niubqfaf85qg,430y2hfahv7ty,1.58E+12,11355358674
262,11853994100,6niubqfavig1h,di2y2hfai3k7m,1.58E+12,11355360483
263,11853994102,8niubqfauscy6,mkzy2hfan8c6k,1.58E+12,11355356676
264,11853994103,9niubqfa76z9j,t01y2hfa0ebuv,1.58E+12,11355359851
265,11853994105,boiubqfap7kvf,ib1y2hfaw1a8z,1.58E+12,11355358940
266,11853994107,doiubqfactt9w,9xzy2hfa6ynxm,1.58E+12,11355357167
267,11853994110,goiubqfaigrlf,3vzy2hfawasp7,1.58E+12,11355357089
268,11853994112,ioiubqfa59agf,x3zy2hfaxtmgx,1.58E+12,11355357371
269,11853994113,joiubqfa8b5xw,xvzy2hfawncwk,1.58E+12,11355357083
270,11853994114,koiubqfa72svg,9uzy2hfa9yk8c,1.58E+12,11355357059
271,11853994117,noiubqfajvld5,oo0y2hfaa4007,1.58E+12,11355358118
272,11853994118,ooiubqfap4rwr,0p1y2hfalloe0,1.58E+12,11355359462
273,11853994120,qoiubqfa50giz,jkzy2hfaobxpv,1.58E+12,11355356673
